Tag,Excerpt,Wiki
netcat,"Netcat is a simple but powerful utility program that reads and writes data across network connections, using TCP or UDP protocol, IPv4 or IPv6, with a variety of functions.","<p>Netcat (or <code>nc</code>, as the executable is traditionally named) is a simple but powerful utility program that reads and writes data across network connections,
using TCP or UDP protocol, IPv4 or IPv6, functioning as a client or a server. 
It is designed to be a reliable “back-end” tool that can be easily driven by other programs and scripts, but is also well suited to interactive (command-line) usage. 
It is so versatile that it is called the “TCP/IP Swiss Army Knife”.</p>

<p>Netcat can be used as a test tool, to exercise network components (e.g., products),
but it can also be a building block in a simple prototype system. 
It is conceptually a network-enabled version of the Unix <code>cat</code> program, reading data from one place and writing somewhere else.  Like <code>cat</code>, it can handle textual or binary data. 
Initially developed for Unix, Netcat is now also available for Windows. 
The Unix versions can operate on Unix domain sockets as well as network sockets. 
GNU Netcat is distributed freely under the GNU General Public License (GPL).</p>

<p>References: <a href=""https://en.wikipedia.org/wiki/Netcat"" rel=""nofollow noreferrer"">https://en.wikipedia.org/wiki/Netcat</a>, <a href=""http://nc110.sourceforge.net/index.html"" rel=""nofollow noreferrer"">http://nc110.sourceforge.net/index.html</a>, <a href=""http://netcat.sourceforge.net/index.php"" rel=""nofollow noreferrer"">http://netcat.sourceforge.net/index.php</a> (GNU Netcat), and <a href=""http://www.openbsd.org/cgi-bin/man.cgi?query=nc"" rel=""nofollow noreferrer"">http://www.openbsd.org/cgi-bin/man.cgi?query=nc</a> (a man page).</p>
"
mailing-lists,,
multi-boot,Installation or use of multiple operating systems on a single computer.,
text-messaging,,
ereader,,
xml-serialization,This tag refers to serialization technologies which use XML as a data format.,"<p>This tag refers to serialization technologies which use XML as a data format. In the context of <a href=""/questions/tagged/.net-framework"" class=""post-tag"" title=""show questions tagged &#39;.net-framework&#39;"" rel=""tag"">.net-framework</a>, it refers to the <code>XmlSerializer</code> class, less so to the <code>DataContractSerializer</code> class, still less to the <code>SoapFormatter</code> class.</p>
"
universal-remote,,
bzip2,Use bzip2 for questions about the files compressed with bzip2.,"<p>Bzip2 is a compressor (like arj, lha and zip). </p>
"
bz2,"bz2 is the default extension for files compressed with bzip2. Please use the [tag:bzi[2] tag,",
pipe,Pipes or named pipes are a feature of the POSIX standard that allow separate processes to communicate with each other without having been designed explicitly to work together.,"<p>Pipes or named pipes are a feature of the POSIX standard that allow separate processes to communicate with each other without having been designed explicitly to work together.</p>

<p>Pipe can also refer to the character produced by pressing shift+backspace. It looks like this: |</p>
"
avatar,,
cursor,cursor is an indicator used to show the position on a video monitor or display that will respond to the addition of text or mouse movements.,
blend,,
security-warning,,
roaming-profiles,,
hal,,
adsl-router,,
ident.ca,,
hp-mediasmart,,
mamp,"MAMP is a common acronym for Mac OS, Apache, MySQL and PHP.  MAMP & MAMP Pro are applications distributed at http://www.mamp.info.  Both MAMP & MAMP Pro are a GUI front end for managing Apache, MySQL and PHP.  MAMP is free while MAMP Pro requires payment.  MAMP is similar to XAMPP and WAMP.",
webforms,,
combine,,
freecommander,"For questions about FreeCommander, a dual-panel alternative to the standard file manager in Windows.","<p><a href=""http://freecommander.com/en/summary/"" rel=""nofollow noreferrer"">FreeCommander</a> is a free file manager, a dual-panel alternative to the standard file manager in Windows.</p>

<p>Main features in FreeCommander:</p>

<ul>
<li>Dual-panel technology – horizontal and vertical (one panel is possible too)</li>
<li>Tabbed interface</li>
<li>Full access to desktop</li>
<li>Optional tree view for each panel</li>
<li>Built-in file viewer to view files in hex, binary, text or image format</li>
<li>File viewer and thumbnail view inside archives too</li>
<li>Built-in archive handling: ZIP (read/write)</li>
<li>Nested archive handling</li>
<li>Plugins for other archive (RAR, 7z, …)</li>
<li>Plain view – structureless view for files and folders</li>
<li>Linked browsing</li>
<li>Easy access to system folders, Control Panel, desktop and start menu</li>
<li>Copy, move, delete, rename files and folders (alternatively as Windows or FreeCommander operation)</li>
<li>Drag &amp; drop</li>
<li>File searching (inside archives too)</li>
<li>Create and verify MD5 checksums</li>
<li>Wipe files</li>
<li>Batch rename tool</li>
<li>File properties and context menu</li>
<li>Calculation of folder size</li>
<li>Folder comparison</li>
<li>Folder synchronization</li>
<li>Modification of file date and attributes</li>
<li>Folder / program favorites</li>
<li>File filters (regex is possible too) for display and file operations</li>
<li>User-defined columns for detailed views</li>
<li>DOS command line</li>
<li>Quick viewer</li>
<li>Quick search</li>
<li>Quick filter</li>
<li>Quick starter</li>
<li>Screenshots</li>
<li>All shortcuts are definable</li>
<li>A lot of settings, almost all of them configurable</li>
<li>Multiple language support</li>
</ul>
"
intellij-idea,,
psexec,"Psexec is a free powerful ""runas"" utility by Microsoft. It's special features are e.g. the possibilities to start processes on remote machines, as system system user or to run them in the console 0 session.",
fios,"Verizon FiOS is a bundled Internet access, telephone, and television service which operates over a fiber-optic communications network.","<ul>
<li><a href=""http://www22.verizon.com/home/aboutfios/"" rel=""nofollow noreferrer"">Official homepage</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Verizon_FiOS"" rel=""nofollow noreferrer"">Wikipedia</a></li>
</ul>
"
forwarding,"The process of resending data to another location. Examples include email, packets, and connection attempts.","<p>The process of resending data to another location. Examples include email, packets, and connection attempts.</p>
"
timestamp,The time at which an event is recorded by a computer.,"<p>Covers file creation/modification dates and times (eg: <code>12/12/12  12:12 Text.log</code> as might show in response to a DOS DIR command) and event times (eg: <code>2012-10-18 06:40:03,582 INFO     hello</code> as might be an entry within a log file). Also covers timecodes for synchronisation purposes, such as used in video production.</p>

<p>See <a href=""http://en.wikipedia.org/wiki/Timestamp"" rel=""nofollow noreferrer"">Wikipedia</a>.</p>
"
string,A string is a sequence of zero or more characters. It is commonly used to represent text or a sequence of bytes. Use this tag along with the appropriate programming language being used.,
acer-revo,,
superfetch,"SuperFetch is a technology that pre-loads commonly used applications into memory to reduce their load times. It is based on the ""prefetcher"" function in Windows XP.",
winscp,"WinSCP is an open source free SFTP, FTP and SCP client for Windows. WinSCP is commonly used by power users to upload files to web servers. Beyond this, WinSCP offers scripting and .NET assembly to automate file transfer tasks.","<p>WinSCP is an open source free SFTP, FTP, WebDAV and SCP client for Windows. Its main function is file transfer between a local and a remote computer.</p>

<p>WinSCP is commonly used by developers to upload their code, such as PHP, to web servers.</p>

<p>WinSCP can be used to automate file transfer tasks, either using basic <a href=""https://winscp.net/eng/docs/scripting"" rel=""nofollow noreferrer"">scripting interface</a> or, for advanced tasks, using <a href=""https://winscp.net/eng/docs/library"" rel=""nofollow noreferrer"">.NET assembly</a>.</p>

<p>For details see:</p>

<ul>
<li><a href=""https://en.wikipedia.org/wiki/WinSCP"" rel=""nofollow noreferrer"">Wikipedia</a> entry on this project.</li>
<li><a href=""https://winscp.net/"" rel=""nofollow noreferrer"">WinSCP Homepage</a></li>
<li><a href=""https://winscp.net/eng/docs/guide_upload"" rel=""nofollow noreferrer"">Using WinSCP to upload files to FTP/SFTP server</a></li>
<li><a href=""https://winscp.net/eng/docs/guide_automation"" rel=""nofollow noreferrer"">Using WinSCP to automate file transfers (or synchronization) to FTP server or SFTP server</a>.</li>
</ul>
"
architecture,,
network-camera,,
inkjet-printer,,
syntax,Questions about the particularities in the symbols that commands and programming languages require for a proper structure.,
flatfile,,
crystal-reports,Crystal Reports is a business intelligence application used to design and generate reports from a wide range of data sources. ,"<p>Crystal Reports is a business intelligence application used to design and generate reports from a wide range of data sources. Several other applications, including Microsoft Visual Studio, at one time bundled an OEM version of Crystal Reports as a general purpose reporting Crystal Reports is a popular report writer, especially when Microsoft bundled it with Visual Studio versions 2003 through 2008. </p>
"
